"","id","measure","date","street","lat","long","type","unit","format","id_char","type_and_unit","normal_measure"
"140",10283,38,"2013/11/27","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.273504273504274
"141",10283,33,"2013/11/28","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.230769230769231
"142",10283,63,"2013/11/29","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.487179487179487
"143",10283,57,"2013/11/30","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.435897435897436
"144",10283,49,"2013/12/01","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.367521367521368
"145",10283,50,"2013/12/02","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.376068376068376
"146",10283,61,"2013/12/03","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.47008547008547
"147",10283,61,"2013/12/04","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.47008547008547
"148",10283,94,"2013/12/05","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.752136752136752
"149",10283,39,"2013/12/06","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.282051282051282
"150",10283,66,"2013/12/07","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.512820512820513
"151",10283,81,"2013/12/08","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.641025641025641
"152",10283,71,"2013/12/09","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.555555555555556
"153",10283,92,"2013/12/10","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.735042735042735
"154",10283,85,"2013/12/11","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.675213675213675
"155",10283,82,"2013/12/12","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.64957264957265
